Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn);Middeltemperatur (døgn);Middel av middelvind fra hovedobs. (døgn);Høyeste vindkast (døgn);Høyeste middelvind (døgn)
Oslo - Kjelsås;SN18440;23.02.2015;0,8;-;-;-;-
Oslo - Kjelsås;SN18440;24.02.2015;7,6;-;-;-;-
Oslo - Kjelsås;SN18440;25.02.2015;4,7;-;-;-;-
Oslo - Kjelsås;SN18440;26.02.2015;0,1;-;-;-;-
Oslo - Kjelsås;SN18440;27.02.2015;2,6;-;-;-;-
Oslo - Kjelsås;SN18440;28.02.2015;3,6;-;-;-;-
Oslo - Kjelsås;SN18440;01.03.2015;2,1;-;-;-;-
Oslo - Kjelsås;SN18440;02.03.2015;8,2;-;-;-;-
Oslo - Kjelsås;SN18440;03.03.2015;1,2;-;-;-;-
Oslo - Kjelsås;SN18440;04.03.2015;0,3;-;-;-;-
Oslo - Kjelsås;SN18440;05.03.2015;0,1;-;-;-;-
Oslo - Kjelsås;SN18440;06.03.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;07.03.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;08.03.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;09.03.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;10.03.2015;1,7;-;-;-;-
Oslo - Kjelsås;SN18440;11.03.2015;0,1;-;-;-;-
Oslo - Kjelsås;SN18440;12.03.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;13.03.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;14.03.2015;0,1;-;-;-;-
Oslo - Kjelsås;SN18440;15.03.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;16.03.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;17.03.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;18.03.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;19.03.2015;3,3;-;-;-;-
Oslo - Kjelsås;SN18440;20.03.2015;1,4;-;-;-;-
Oslo - Kjelsås;SN18440;21.03.2015;1,5;-;-;-;-
Oslo - Kjelsås;SN18440;22.03.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;23.03.2015;3,1;-;-;-;-
Oslo - Kjelsås;SN18440;24.03.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;25.03.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;26.03.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;27.03.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;28.03.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;29.03.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;30.03.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;31.03.2015;2;-;-;-;-
Oslo - Kjelsås;SN18440;01.04.2015;0,2;-;-;-;-
Oslo - Kjelsås;SN18440;02.04.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;03.04.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;04.04.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;05.04.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;06.04.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;07.04.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;08.04.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;09.04.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;10.04.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;11.04.2015;0,1;-;-;-;-
Oslo - Kjelsås;SN18440;12.04.2015;3,1;-;-;-;-
Oslo - Kjelsås;SN18440;13.04.2015;0,1;-;-;-;-
Oslo - Kjelsås;SN18440;14.04.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;15.04.2015;3,2;-;-;-;-
Oslo - Kjelsås;SN18440;16.04.2015;1,2;-;-;-;-
Oslo - Kjelsås;SN18440;17.04.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;18.04.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;19.04.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;20.04.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;21.04.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;22.04.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;23.04.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;24.04.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;25.04.2015;0,9;-;-;-;-
Oslo - Kjelsås;SN18440;26.04.2015;5,3;-;-;-;-
Oslo - Kjelsås;SN18440;27.04.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;28.04.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;29.04.2015;0,4;-;-;-;-
Oslo - Kjelsås;SN18440;30.04.2015;5,1;-;-;-;-
