"Time (CET/CEST)","Germany (DE) > Norway (NO) [MW]","Norway (NO) > Germany (DE) [MW]"
"02.01.2021 00:45 - 02.01.2021 01:00","0","702"
"02.01.2021 01:00 - 02.01.2021 01:15","0","701"
"02.01.2021 01:15 - 02.01.2021 01:30","0","701"
"02.01.2021 01:30 - 02.01.2021 01:45","0","702"
"02.01.2021 01:45 - 02.01.2021 02:00","0","701"
"02.01.2021 02:00 - 02.01.2021 02:15","0","702"
"02.01.2021 02:15 - 02.01.2021 02:30","0","701"
"02.01.2021 02:30 - 02.01.2021 02:45","0","701"
"02.01.2021 02:45 - 02.01.2021 03:00","0","701"
"02.01.2021 03:00 - 02.01.2021 03:15","0","701"
"02.01.2021 03:15 - 02.01.2021 03:30","0","701"
"02.01.2021 03:30 - 02.01.2021 03:45","0","701"
"02.01.2021 03:45 - 02.01.2021 04:00","0","701"
"02.01.2021 04:00 - 02.01.2021 04:15","0","702"
"02.01.2021 04:15 - 02.01.2021 04:30","0","701"
"02.01.2021 04:30 - 02.01.2021 04:45","0","701"
"02.01.2021 04:45 - 02.01.2021 05:00","0","701"
"02.01.2021 05:00 - 02.01.2021 05:15","0","702"
"02.01.2021 05:15 - 02.01.2021 05:30","0","702"
"02.01.2021 05:30 - 02.01.2021 05:45","0","702"
"02.01.2021 05:45 - 02.01.2021 06:00","0","702"
"02.01.2021 06:00 - 02.01.2021 06:15","0","701"
"02.01.2021 06:15 - 02.01.2021 06:30","0","702"
"02.01.2021 06:30 - 02.01.2021 06:45","0","702"
"02.01.2021 06:45 - 02.01.2021 07:00","0","702"
"02.01.2021 07:00 - 02.01.2021 07:15","0","701"
"02.01.2021 07:15 - 02.01.2021 07:30","0","702"
"02.01.2021 07:30 - 02.01.2021 07:45","0","701"
"02.01.2021 07:45 - 02.01.2021 08:00","0","701"
"02.01.2021 08:00 - 02.01.2021 08:15","0","702"
"02.01.2021 08:15 - 02.01.2021 08:30","0","701"
"02.01.2021 08:30 - 02.01.2021 08:45","0","701"
"02.01.2021 08:45 - 02.01.2021 09:00","0","702"
"02.01.2021 09:00 - 02.01.2021 09:15","0","702"
"02.01.2021 09:15 - 02.01.2021 09:30","0","702"
"02.01.2021 09:30 - 02.01.2021 09:45","0","702"
"02.01.2021 09:45 - 02.01.2021 10:00","0","702"
"02.01.2021 10:00 - 02.01.2021 10:15","0","702"
"02.01.2021 10:15 - 02.01.2021 10:30","0","702"
"02.01.2021 10:30 - 02.01.2021 10:45","0","702"
"02.01.2021 10:45 - 02.01.2021 11:00","0","701"
"02.01.2021 11:00 - 02.01.2021 11:15","0","702"
"02.01.2021 11:15 - 02.01.2021 11:30","0","701"
"02.01.2021 11:30 - 02.01.2021 11:45","0","701"
"02.01.2021 11:45 - 02.01.2021 12:00","0","702"
"02.01.2021 12:00 - 02.01.2021 12:15","0","702"
"02.01.2021 12:15 - 02.01.2021 12:30","0","702"
"02.01.2021 12:30 - 02.01.2021 12:45","0","701"
"02.01.2021 12:45 - 02.01.2021 13:00","0","702"
"02.01.2021 13:00 - 02.01.2021 13:15","0","701"
"02.01.2021 13:15 - 02.01.2021 13:30","0","701"
"02.01.2021 13:30 - 02.01.2021 13:45","0","701"
"02.01.2021 13:45 - 02.01.2021 14:00","0","701"
"02.01.2021 14:00 - 02.01.2021 14:15","0","701"
"02.01.2021 14:15 - 02.01.2021 14:30","0","702"
"02.01.2021 14:30 - 02.01.2021 14:45","0","701"
