"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Norway (NO)","02.01.2021 10:00 - 02.01.2021 11:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1339","","1257","20989","n/e","n/e","0","34","n/e","22","n/e","461"
"Norway (NO)","02.01.2021 11:00 - 02.01.2021 12:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1445","","1264","21304","n/e","n/e","0","35","n/e","25","n/e","485"
"Norway (NO)","02.01.2021 12:00 - 02.01.2021 13:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1449","","1262","21302","n/e","n/e","0","33","n/e","23","n/e","351"
"Norway (NO)","02.01.2021 13:00 - 02.01.2021 14:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1463","","1265","21400","n/e","n/e","0","32","n/e","23","n/e","331"
"Norway (NO)","02.01.2021 14:00 - 02.01.2021 15:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1496","","1268","21519","n/e","n/e","0","31","n/e","23","n/e","357"
"Norway (NO)","02.01.2021 15:00 - 02.01.2021 16:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1544","","1266","21948","n/e","n/e","0","31","n/e","26","n/e","392"
"Norway (NO)","02.01.2021 16:00 - 02.01.2021 17:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1558","","1267","22509","n/e","n/e","0","29","n/e","26","n/e","376"
"Norway (NO)","02.01.2021 17:00 - 02.01.2021 18:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1572","","1268","22813","n/e","n/e","0","27","n/e","27","n/e","369"
"Norway (NO)","02.01.2021 18:00 - 02.01.2021 19:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1628","","1265","22849","n/e","n/e","0","30","n/e","27","n/e","421"
"Norway (NO)","02.01.2021 19:00 - 02.01.2021 20:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1548","","1264","22245","n/e","n/e","0","31","n/e","26","n/e","448"
"Norway (NO)","02.01.2021 20:00 - 02.01.2021 21:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1525","","1264","21286","n/e","n/e","0","33","n/e","25","n/e","476"
"Norway (NO)","02.01.2021 21:00 - 02.01.2021 22:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1517","","1264","21002","n/e","n/e","0","32","n/e","24","n/e","474"
"Norway (NO)","02.01.2021 22:00 - 02.01.2021 23:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1420","","1258","20534","n/e","n/e","0","36","n/e","25","n/e","486"
"Norway (NO)","02.01.2021 23:00 - 03.01.2021 00:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1218","","1253","19956","n/e","n/e","0","30","n/e","24","n/e","519"
"Norway (NO)","03.01.2021 00:00 - 03.01.2021 01:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1204","","1243","19235","n/e","n/e","0","32","n/e","23","n/e","558"
"Norway (NO)","03.01.2021 01:00 - 03.01.2021 02:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1118","","1240","18094","n/e","n/e","0","32","n/e","25","n/e","503"
"Norway (NO)","03.01.2021 02:00 - 03.01.2021 03:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","845","","1240","17523","n/e","n/e","0","35","n/e","33","n/e","499"
"Norway (NO)","03.01.2021 03:00 - 03.01.2021 04:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","848","","1242","17205","n/e","n/e","0","37","n/e","32","n/e","527"
"Norway (NO)","03.01.2021 04:00 - 03.01.2021 05:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","853","","1241","17298","n/e","n/e","0","29","n/e","31","n/e","485"
"Norway (NO)","03.01.2021 05:00 - 03.01.2021 06:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","853","","1240","17491","n/e","n/e","0","32","n/e","30","n/e","478"
"Norway (NO)","03.01.2021 06:00 - 03.01.2021 07:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","846","","1241","17594","n/e","n/e","0","29","n/e","30","n/e","524"
