"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|NO1","02.01.2021 05:00 - 02.01.2021 06:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","752","1840","n/e","n/e","n/e","n/e","n/e","6","n/e","11"
"BZN|NO1","02.01.2021 06:00 - 02.01.2021 07:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","751","1974","n/e","n/e","n/e","n/e","n/e","6","n/e","11"
"BZN|NO1","02.01.2021 07:00 - 02.01.2021 08:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","753","1978","n/e","n/e","n/e","n/e","n/e","6","n/e","11"
"BZN|NO1","02.01.2021 08:00 - 02.01.2021 09:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","754","1984","n/e","n/e","n/e","n/e","n/e","6","n/e","10"
"BZN|NO1","02.01.2021 09:00 - 02.01.2021 10:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","755","2008","n/e","n/e","n/e","n/e","n/e","6","n/e","10"
"BZN|NO1","02.01.2021 10:00 - 02.01.2021 11:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","759","2038","n/e","n/e","n/e","n/e","n/e","6","n/e","9"
"BZN|NO1","02.01.2021 11:00 - 02.01.2021 12:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","760","2059","n/e","n/e","n/e","n/e","n/e","6","n/e","8"
"BZN|NO1","02.01.2021 12:00 - 02.01.2021 13:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","761","2025","n/e","n/e","n/e","n/e","n/e","6","n/e","7"
"BZN|NO1","02.01.2021 13:00 - 02.01.2021 14:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","763","2062","n/e","n/e","n/e","n/e","n/e","6","n/e","6"
"BZN|NO1","02.01.2021 14:00 - 02.01.2021 15:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","763","2030","n/e","n/e","n/e","n/e","n/e","6","n/e","9"
"BZN|NO1","02.01.2021 15:00 - 02.01.2021 16:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","763","2071","n/e","n/e","n/e","n/e","n/e","6","n/e","12"
"BZN|NO1","02.01.2021 16:00 - 02.01.2021 17:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","763","2149","n/e","n/e","n/e","n/e","n/e","6","n/e","11"
"BZN|NO1","02.01.2021 17:00 - 02.01.2021 18:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","763","2201","n/e","n/e","n/e","n/e","n/e","6","n/e","11"
"BZN|NO1","02.01.2021 18:00 - 02.01.2021 19:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","764","2198","n/e","n/e","n/e","n/e","n/e","6","n/e","13"
"BZN|NO1","02.01.2021 19:00 - 02.01.2021 20:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","763","2180","n/e","n/e","n/e","n/e","n/e","6","n/e","19"
"BZN|NO1","02.01.2021 20:00 - 02.01.2021 21:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","763","2071","n/e","n/e","n/e","n/e","n/e","6","n/e","19"
"BZN|NO1","02.01.2021 21:00 - 02.01.2021 22:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","763","2030","n/e","n/e","n/e","n/e","n/e","6","n/e","13"
"BZN|NO1","02.01.2021 22:00 - 02.01.2021 23:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","762","2019","n/e","n/e","n/e","n/e","n/e","6","n/e","12"
"BZN|NO1","02.01.2021 23:00 - 03.01.2021 00:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","762","2002","n/e","n/e","n/e","n/e","n/e","6","n/e","10"
"BZN|NO1","03.01.2021 00:00 - 03.01.2021 01:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","762","1909","n/e","n/e","n/e","n/e","n/e","6","n/e","11"
"BZN|NO1","03.01.2021 01:00 - 03.01.2021 02:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","761","1860","n/e","n/e","n/e","n/e","n/e","6","n/e","15"
"BZN|NO1","03.01.2021 02:00 - 03.01.2021 03:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","761","1845","n/e","n/e","n/e","n/e","n/e","6","n/e","18"
"BZN|NO1","03.01.2021 03:00 - 03.01.2021 04:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","761","1836","n/e","n/e","n/e","n/e","n/e","6","n/e","17"
"BZN|NO1","03.01.2021 04:00 - 03.01.2021 05:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","760","1838","n/e","n/e","n/e","n/e","n/e","6","n/e","15"
"BZN|NO1","03.01.2021 05:00 - 03.01.2021 06:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","760","1852","n/e","n/e","n/e","n/e","n/e","6","n/e","16"
"BZN|NO1","03.01.2021 06:00 - 03.01.2021 07:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","759","1880","n/e","n/e","n/e","n/e","n/e","6","n/e","22"
"BZN|NO1","03.01.2021 07:00 - 03.01.2021 08:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","759","1922","n/e","n/e","n/e","n/e","n/e","6","n/e","28"
"BZN|NO1","03.01.2021 08:00 - 03.01.2021 09:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","758","1932","n/e","n/e","n/e","n/e","n/e","6","n/e","35"
"BZN|NO1","03.01.2021 09:00 - 03.01.2021 10:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","758","2006","n/e","n/e","n/e","n/e","n/e","6","n/e","47"
"BZN|NO1","03.01.2021 10:00 - 03.01.2021 11:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","758","2019","n/e","n/e","n/e","n/e","n/e","6","n/e","50"
"BZN|NO1","03.01.2021 11:00 - 03.01.2021 12:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","759","2012","n/e","n/e","n/e","n/e","n/e","6","n/e","45"
"BZN|NO1","03.01.2021 12:00 - 03.01.2021 13:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","758","1982","n/e","n/e","n/e","n/e","n/e","6","n/e","50"
"BZN|NO1","03.01.2021 13:00 - 03.01.2021 14:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","758","1990","n/e","n/e","n/e","n/e","n/e","6","n/e","62"
"BZN|NO1","03.01.2021 14:00 - 03.01.2021 15:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","757","2018","n/e","n/e","n/e","n/e","n/e","6","n/e","53"
"BZN|NO1","03.01.2021 15:00 - 03.01.2021 16:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","746","2031","n/e","n/e","n/e","n/e","n/e","6","n/e","78"
"BZN|NO1","03.01.2021 16:00 - 03.01.2021 17:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","725","2109","n/e","n/e","n/e","n/e","n/e","6","n/e","85"
"BZN|NO1","03.01.2021 17:00 - 03.01.2021 18:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","711","2100","n/e","n/e","n/e","n/e","n/e","6","n/e","90"
"BZN|NO1","03.01.2021 18:00 - 03.01.2021 19:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","701","2068","n/e","n/e","n/e","n/e","n/e","6","n/e","81"
