"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Denmark (DK)","02.01.2023 18:00 - 02.01.2023 19:00 (CET/CEST)","624","n/e","n/e","518","734","51","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","132","1731","1942"
"Denmark (DK)","02.01.2023 19:00 - 02.01.2023 20:00 (CET/CEST)","500","n/e","n/e","437","518","49","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","130","1876","2113"
"Denmark (DK)","02.01.2023 20:00 - 02.01.2023 21:00 (CET/CEST)","519","n/e","n/e","399","493","44","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","131","1902","2454"
"Denmark (DK)","02.01.2023 21:00 - 02.01.2023 22:00 (CET/CEST)","479","n/e","n/e","376","533","42","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","130","2011","2534"
"Denmark (DK)","02.01.2023 22:00 - 02.01.2023 23:00 (CET/CEST)","470","n/e","n/e","319","492","41","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","130","2066","2279"
"Denmark (DK)","02.01.2023 23:00 - 03.01.2023 00:00 (CET/CEST)","485","n/e","n/e","308","491","41","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","128","2010","2163"
"Denmark (DK)","03.01.2023 00:00 - 03.01.2023 01:00 (CET/CEST)","476","n/e","n/e","260","599","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","124","2032","2109"
"Denmark (DK)","03.01.2023 01:00 - 03.01.2023 02:00 (CET/CEST)","491","n/e","n/e","251","600","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","124","2061","2055"
"Denmark (DK)","03.01.2023 02:00 - 03.01.2023 03:00 (CET/CEST)","558","n/e","n/e","254","476","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","129","2012","2044"
"Denmark (DK)","03.01.2023 03:00 - 03.01.2023 04:00 (CET/CEST)","588","n/e","n/e","255","410","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","127","1826","1950"
"Denmark (DK)","03.01.2023 04:00 - 03.01.2023 05:00 (CET/CEST)","589","n/e","n/e","260","415","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","128","1675","1830"
"Denmark (DK)","03.01.2023 05:00 - 03.01.2023 06:00 (CET/CEST)","606","n/e","n/e","277","445","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","128","1558","1592"
"Denmark (DK)","03.01.2023 06:00 - 03.01.2023 07:00 (CET/CEST)","644","n/e","n/e","382","690","37","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","129","1332","1390"
"Denmark (DK)","03.01.2023 07:00 - 03.01.2023 08:00 (CET/CEST)","729","n/e","n/e","527","747","44","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","130","1257","1239"
"Denmark (DK)","03.01.2023 08:00 - 03.01.2023 09:00 (CET/CEST)","790","n/e","n/e","552","758","52","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2","136","1213","1089"
"Denmark (DK)","03.01.2023 09:00 - 03.01.2023 10:00 (CET/CEST)","802","n/e","n/e","550","713","52","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","62","129","1255","950"
"Denmark (DK)","03.01.2023 10:00 - 03.01.2023 11:00 (CET/CEST)","759","n/e","n/e","539","711","52","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","210","127","1238","876"
"Denmark (DK)","03.01.2023 11:00 - 03.01.2023 12:00 (CET/CEST)","824","n/e","n/e","528","704","52","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","369","136","1150","832"
"Denmark (DK)","03.01.2023 12:00 - 03.01.2023 13:00 (CET/CEST)","839","n/e","n/e","495","701","50","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","394","135","1142","904"
"Denmark (DK)","03.01.2023 13:00 - 03.01.2023 14:00 (CET/CEST)","873","n/e","n/e","547","787","49","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","330","134","721","804"
"Denmark (DK)","03.01.2023 14:00 - 03.01.2023 15:00 (CET/CEST)","891","n/e","n/e","569","683","50","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","226","136","650","693"
"Denmark (DK)","03.01.2023 15:00 - 03.01.2023 16:00 (CET/CEST)","928","n/e","n/e","590","739","51","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","53","137","818","598"
"Denmark (DK)","03.01.2023 16:00 - 03.01.2023 17:00 (CET/CEST)","950","n/e","n/e","599","733","53","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","138","902","712"
"Denmark (DK)","03.01.2023 17:00 - 03.01.2023 18:00 (CET/CEST)","958","n/e","n/e","628","741","53","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","134","1002","976"
"Denmark (DK)","03.01.2023 18:00 - 03.01.2023 19:00 (CET/CEST)","953","n/e","n/e","648","715","53","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","132","1104","1131"
"Denmark (DK)","03.01.2023 19:00 - 03.01.2023 20:00 (CET/CEST)","798","n/e","n/e","503","749","50","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","128","1188","1403"
"Denmark (DK)","03.01.2023 20:00 - 03.01.2023 21:00 (CET/CEST)","904","n/e","n/e","518","784","49","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","123","1107","1536"
"Denmark (DK)","03.01.2023 21:00 - 03.01.2023 22:00 (CET/CEST)","860","n/e","n/e","377","694","46","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","113","1216","1625"
