"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Denmark (DK)","01.01.2024 10:00 - 01.01.2024 11:00 (CET/CEST)","483","n/e","n/e","202","337","68","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","58","77","1364","1316"
"Denmark (DK)","01.01.2024 11:00 - 01.01.2024 12:00 (CET/CEST)","491","n/e","n/e","213","337","68","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","84","76","1281","1292"
"Denmark (DK)","01.01.2024 12:00 - 01.01.2024 13:00 (CET/CEST)","508","n/e","n/e","218","341","67","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","106","77","1103","1257"
"Denmark (DK)","01.01.2024 13:00 - 01.01.2024 14:00 (CET/CEST)","580","n/e","n/e","220","345","68","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","97","77","921","1294"
"Denmark (DK)","01.01.2024 14:00 - 01.01.2024 15:00 (CET/CEST)","589","n/e","n/e","213","345","68","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","49","78","676","1315"
"Denmark (DK)","01.01.2024 15:00 - 01.01.2024 16:00 (CET/CEST)","708","n/e","n/e","226","359","69","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9","96","720","1357"
"Denmark (DK)","01.01.2024 16:00 - 01.01.2024 17:00 (CET/CEST)","802","n/e","n/e","260","457","70","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","97","831","1457"
"Denmark (DK)","01.01.2024 17:00 - 01.01.2024 18:00 (CET/CEST)","771","n/e","n/e","264","522","70","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","96","755","1511"
"Denmark (DK)","01.01.2024 18:00 - 01.01.2024 19:00 (CET/CEST)","728","n/e","n/e","266","519","70","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","97","799","1541"
"Denmark (DK)","01.01.2024 19:00 - 01.01.2024 20:00 (CET/CEST)","738","n/e","n/e","266","506","70","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","95","976","1548"
"Denmark (DK)","01.01.2024 20:00 - 01.01.2024 21:00 (CET/CEST)","703","n/e","n/e","241","362","70","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","91","1065","1553"
"Denmark (DK)","01.01.2024 21:00 - 01.01.2024 22:00 (CET/CEST)","665","n/e","n/e","232","345","71","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","74","1152","1591"
"Denmark (DK)","01.01.2024 22:00 - 01.01.2024 23:00 (CET/CEST)","657","n/e","n/e","230","341","70","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","71","1162","1618"
"Denmark (DK)","01.01.2024 23:00 - 02.01.2024 00:00 (CET/CEST)","590","n/e","n/e","201","304","63","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","72","1256","1610"
"Denmark (DK)","02.01.2024 00:00 - 02.01.2024 01:00 (CET/CEST)","405","n/e","n/e","184","294","59","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","71","1170","1619"
"Denmark (DK)","02.01.2024 01:00 - 02.01.2024 02:00 (CET/CEST)","342","n/e","n/e","176","295","60","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","71","966","1625"
"Denmark (DK)","02.01.2024 02:00 - 02.01.2024 03:00 (CET/CEST)","395","n/e","n/e","176","289","58","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","70","880","1576"
"Denmark (DK)","02.01.2024 03:00 - 02.01.2024 04:00 (CET/CEST)","432","n/e","n/e","171","285","57","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","64","946","1557"
"Denmark (DK)","02.01.2024 04:00 - 02.01.2024 05:00 (CET/CEST)","423","n/e","n/e","165","306","57","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","62","999","1580"
"Denmark (DK)","02.01.2024 05:00 - 02.01.2024 06:00 (CET/CEST)","534","n/e","n/e","166","365","57","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","66","1145","1778"
"Denmark (DK)","02.01.2024 06:00 - 02.01.2024 07:00 (CET/CEST)","682","n/e","n/e","191","374","61","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","94","1296","1969"
"Denmark (DK)","02.01.2024 07:00 - 02.01.2024 08:00 (CET/CEST)","734","n/e","n/e","225","541","71","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","95","1410","2174"
"Denmark (DK)","02.01.2024 08:00 - 02.01.2024 09:00 (CET/CEST)","802","n/e","n/e","266","561","73","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","96","1465","2461"
"Denmark (DK)","02.01.2024 09:00 - 02.01.2024 10:00 (CET/CEST)","853","n/e","n/e","282","555","71","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","22","96","1475","2772"
"Denmark (DK)","02.01.2024 10:00 - 02.01.2024 11:00 (CET/CEST)","827","n/e","n/e","382","564","73","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","76","96","1602","3080"
"Denmark (DK)","02.01.2024 11:00 - 02.01.2024 12:00 (CET/CEST)","829","n/e","n/e","392","573","75","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","112","98","1751","3242"
"Denmark (DK)","02.01.2024 12:00 - 02.01.2024 13:00 (CET/CEST)","832","n/e","n/e","400","570","74","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","132","97","1853","3378"
"Denmark (DK)","02.01.2024 13:00 - 02.01.2024 14:00 (CET/CEST)","865","n/e","n/e","389","571","74","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","96","96","1989","3484"
"Denmark (DK)","02.01.2024 14:00 - 02.01.2024 15:00 (CET/CEST)","850","n/e","n/e","422","579","76","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","45","99","2117","3649"
"Denmark (DK)","02.01.2024 15:00 - 02.01.2024 16:00 (CET/CEST)","850","n/e","n/e","474","628","86","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9","102","2141","3764"
"Denmark (DK)","02.01.2024 16:00 - 02.01.2024 17:00 (CET/CEST)","874","n/e","n/e","484","638","88","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","103","2162","3894"
"Denmark (DK)","02.01.2024 17:00 - 02.01.2024 18:00 (CET/CEST)","847","n/e","n/e","444","622","84","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","100","2176","3955"
"Denmark (DK)","02.01.2024 18:00 - 02.01.2024 19:00 (CET/CEST)","848","n/e","n/e","411","604","81","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","99","2173","4000"
"Denmark (DK)","02.01.2024 19:00 - 02.01.2024 20:00 (CET/CEST)","795","n/e","n/e","284","592","78","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","100","2166","4014"
"Denmark (DK)","02.01.2024 20:00 - 02.01.2024 21:00 (CET/CEST)","840","n/e","n/e","260","568","77","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","99","2152","4008"
"Denmark (DK)","02.01.2024 21:00 - 02.01.2024 22:00 (CET/CEST)","782","n/e","n/e","211","424","76","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","83","2149","3948"
"Denmark (DK)","02.01.2024 22:00 - 02.01.2024 23:00 (CET/CEST)","666","n/e","n/e","208","391","73","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","79","2144","3981"
"Denmark (DK)","02.01.2024 23:00 - 03.01.2024 00:00 (CET/CEST)","581","n/e","n/e","184","324","61","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","78","2098","3982"
"Denmark (DK)","03.01.2024 00:00 - 03.01.2024 01:00 (CET/CEST)","629","n/e","n/e","152","261","51","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","64","2094","3944"
"Denmark (DK)","03.01.2024 01:00 - 03.01.2024 02:00 (CET/CEST)","579","n/e","n/e","150","262","51","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","60","2095","3856"
"Denmark (DK)","03.01.2024 02:00 - 03.01.2024 03:00 (CET/CEST)","562","n/e","n/e","159","273","53","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","61","2040","3915"
"Denmark (DK)","03.01.2024 03:00 - 03.01.2024 04:00 (CET/CEST)","553","n/e","n/e","153","264","51","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","58","1953","3764"
"Denmark (DK)","03.01.2024 04:00 - 03.01.2024 05:00 (CET/CEST)","553","n/e","n/e","143","259","50","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","56","1971","3517"
"Denmark (DK)","03.01.2024 05:00 - 03.01.2024 06:00 (CET/CEST)","571","n/e","n/e","144","266","51","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","56","1936","3452"
"Denmark (DK)","03.01.2024 06:00 - 03.01.2024 07:00 (CET/CEST)","611","n/e","n/e","141","290","51","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","62","1917","3662"
"Denmark (DK)","03.01.2024 07:00 - 03.01.2024 08:00 (CET/CEST)","621","n/e","n/e","174","381","59","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","71","1915","3821"
"Denmark (DK)","03.01.2024 08:00 - 03.01.2024 09:00 (CET/CEST)","743","n/e","n/e","206","559","73","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","76","2006","3788"
"Denmark (DK)","03.01.2024 09:00 - 03.01.2024 10:00 (CET/CEST)","751","n/e","n/e","199","504","71","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","17","75","2026","3723"
"Denmark (DK)","03.01.2024 10:00 - 03.01.2024 11:00 (CET/CEST)","780","n/e","n/e","204","504","71","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","70","73","2013","3660"
"Denmark (DK)","03.01.2024 11:00 - 03.01.2024 12:00 (CET/CEST)","765","n/e","n/e","210","518","73","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","110","74","2027","3627"
"Denmark (DK)","03.01.2024 12:00 - 03.01.2024 13:00 (CET/CEST)","711","n/e","n/e","217","562","73","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","125","74","2055","3593"
"Denmark (DK)","03.01.2024 13:00 - 03.01.2024 14:00 (CET/CEST)","687","n/e","n/e","234","590","78","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","91","76","2057","3538"
"Denmark (DK)","03.01.2024 14:00 - 03.01.2024 15:00 (CET/CEST)","683","n/e","n/e","237","594","79","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","49","77","2127","3467"
"Denmark (DK)","03.01.2024 15:00 - 03.01.2024 16:00 (CET/CEST)","706","n/e","n/e","283","651","79","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","15","94","2118","3441"
"Denmark (DK)","03.01.2024 16:00 - 03.01.2024 17:00 (CET/CEST)","718","n/e","n/e","411","684","82","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","94","2103","3438"
"Denmark (DK)","03.01.2024 17:00 - 03.01.2024 18:00 (CET/CEST)","740","n/e","n/e","467","712","84","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","95","2112","3420"
"Denmark (DK)","03.01.2024 18:00 - 03.01.2024 19:00 (CET/CEST)","719","n/e","n/e","465","721","82","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","97","2054","3404"
"Denmark (DK)","03.01.2024 19:00 - 03.01.2024 20:00 (CET/CEST)","730","n/e","n/e","465","728","82","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","96","1998","3421"
"Denmark (DK)","03.01.2024 20:00 - 03.01.2024 21:00 (CET/CEST)","698","n/e","n/e","447","703","80","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","95","1937","3357"
"Denmark (DK)","03.01.2024 21:00 - 03.01.2024 22:00 (CET/CEST)","700","n/e","n/e","294","615","71","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","76","1929","3313"
"Denmark (DK)","03.01.2024 22:00 - 03.01.2024 23:00 (CET/CEST)","742","n/e","n/e","254","580","65","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","70","1919","3368"
"Denmark (DK)","03.01.2024 23:00 - 04.01.2024 00:00 (CET/CEST)","757","n/e","n/e","237","565","62","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","72","1908","3328"
"Denmark (DK)","04.01.2024 00:00 - 04.01.2024 01:00 (CET/CEST)","684","n/e","n/e","222","563","61","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","73","1910","3348"
"Denmark (DK)","04.01.2024 01:00 - 04.01.2024 02:00 (CET/CEST)","649","n/e","n/e","221","548","61","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","71","1878","3347"
"Denmark (DK)","04.01.2024 02:00 - 04.01.2024 03:00 (CET/CEST)","633","n/e","n/e","227","403","61","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","71","1841","3328"
"Denmark (DK)","04.01.2024 03:00 - 04.01.2024 04:00 (CET/CEST)","629","n/e","n/e","176","377","60","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","71","1850","3293"
"Denmark (DK)","04.01.2024 04:00 - 04.01.2024 05:00 (CET/CEST)","649","n/e","n/e","177","431","65","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","72","1877","3256"
"Denmark (DK)","04.01.2024 05:00 - 04.01.2024 06:00 (CET/CEST)","752","n/e","n/e","190","571","67","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","74","1945","3133"
"Denmark (DK)","04.01.2024 06:00 - 04.01.2024 07:00 (CET/CEST)","782","n/e","n/e","356","652","76","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","95","2142","2954"
"Denmark (DK)","04.01.2024 07:00 - 04.01.2024 08:00 (CET/CEST)","782","n/e","n/e","466","776","83","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","97","2160","2774"
"Denmark (DK)","04.01.2024 08:00 - 04.01.2024 09:00 (CET/CEST)","771","n/e","n/e","542","809","83","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","97","2097","2518"
"Denmark (DK)","04.01.2024 09:00 - 04.01.2024 10:00 (CET/CEST)","768","n/e","n/e","565","820","84","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","25","96","2075","2288"
"Denmark (DK)","04.01.2024 10:00 - 04.01.2024 11:00 (CET/CEST)","797","n/e","n/e","575","822","83","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","85","96","1913","2114"
"Denmark (DK)","04.01.2024 11:00 - 04.01.2024 12:00 (CET/CEST)","805","n/e","n/e","558","1035","78","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","129","94","1729","1943"
"Denmark (DK)","04.01.2024 12:00 - 04.01.2024 13:00 (CET/CEST)","797","n/e","n/e","528","1039","77","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","164","93","1500","1747"
"Denmark (DK)","04.01.2024 13:00 - 04.01.2024 14:00 (CET/CEST)","786","n/e","n/e","514","1156","74","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","161","92","1341","1442"
"Denmark (DK)","04.01.2024 14:00 - 04.01.2024 15:00 (CET/CEST)","768","n/e","n/e","547","1140","75","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","121","90","1196","1169"
"Denmark (DK)","04.01.2024 15:00 - 04.01.2024 16:00 (CET/CEST)","784","n/e","n/e","589","1152","78","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","41","92","1105","982"
"Denmark (DK)","04.01.2024 16:00 - 04.01.2024 17:00 (CET/CEST)","758","n/e","n/e","605","1183","83","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2","95","1021","811"
"Denmark (DK)","04.01.2024 17:00 - 04.01.2024 18:00 (CET/CEST)","766","n/e","n/e","643","1246","88","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","97","1006","753"
"Denmark (DK)","04.01.2024 18:00 - 04.01.2024 19:00 (CET/CEST)","790","n/e","n/e","633","1262","90","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","98","910","725"
"Denmark (DK)","04.01.2024 19:00 - 04.01.2024 20:00 (CET/CEST)","793","n/e","n/e","615","1244","88","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","95","786","694"
"Denmark (DK)","04.01.2024 20:00 - 04.01.2024 21:00 (CET/CEST)","793","n/e","n/e","626","1222","89","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","95","729","646"
"Denmark (DK)","04.01.2024 21:00 - 04.01.2024 22:00 (CET/CEST)","789","n/e","n/e","562","1147","88","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","95","709","684"
"Denmark (DK)","04.01.2024 22:00 - 04.01.2024 23:00 (CET/CEST)","791","n/e","n/e","560","1001","88","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","97","706","770"
"Denmark (DK)","04.01.2024 23:00 - 05.01.2024 00:00 (CET/CEST)","789","n/e","n/e","522","827","83","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","93","744","768"
"Denmark (DK)","05.01.2024 00:00 - 05.01.2024 01:00 (CET/CEST)","820","n/e","n/e","455","669","76","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","91","734","780"
"Denmark (DK)","05.01.2024 01:00 - 05.01.2024 02:00 (CET/CEST)","850","n/e","n/e","432","594","71","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","89","868","819"
"Denmark (DK)","05.01.2024 02:00 - 05.01.2024 03:00 (CET/CEST)","836","n/e","n/e","420","600","69","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","89","923","872"
"Denmark (DK)","05.01.2024 03:00 - 05.01.2024 04:00 (CET/CEST)","838","n/e","n/e","414","606","68","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","88","857","1118"
"Denmark (DK)","05.01.2024 04:00 - 05.01.2024 05:00 (CET/CEST)","833","n/e","n/e","420","606","69","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","89","993","1274"
"Denmark (DK)","05.01.2024 05:00 - 05.01.2024 06:00 (CET/CEST)","871","n/e","n/e","427","605","68","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","89","1028","1375"
"Denmark (DK)","05.01.2024 06:00 - 05.01.2024 07:00 (CET/CEST)","928","n/e","n/e","471","707","77","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","93","1109","1467"
"Denmark (DK)","05.01.2024 07:00 - 05.01.2024 08:00 (CET/CEST)","944","n/e","n/e","524","732","78","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","93","1174","1599"
"Denmark (DK)","05.01.2024 08:00 - 05.01.2024 09:00 (CET/CEST)","943","n/e","n/e","543","726","81","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","95","1240","1739"
"Denmark (DK)","05.01.2024 09:00 - 05.01.2024 10:00 (CET/CEST)","946","n/e","n/e","544","758","80","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","34","96","1277","1857"
"Denmark (DK)","05.01.2024 10:00 - 05.01.2024 11:00 (CET/CEST)","944","n/e","n/e","548","812","81","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","120","92","1343","2053"
"Denmark (DK)","05.01.2024 11:00 - 05.01.2024 12:00 (CET/CEST)","946","n/e","n/e","617","868","88","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","204","99","1476","2149"
"Denmark (DK)","05.01.2024 12:00 - 05.01.2024 13:00 (CET/CEST)","944","n/e","n/e","554","868","81","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","207","94","1519","2210"
"Denmark (DK)","05.01.2024 13:00 - 05.01.2024 14:00 (CET/CEST)","968","n/e","n/e","540","834","79","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","175","92","1568","2259"
"Denmark (DK)","05.01.2024 14:00 - 05.01.2024 15:00 (CET/CEST)","968","n/e","n/e","548","872","80","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","112","95","1660","2309"
"Denmark (DK)","05.01.2024 15:00 - 05.01.2024 16:00 (CET/CEST)","984","n/e","n/e","561","960","82","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","38","96","1742","2387"
"Denmark (DK)","05.01.2024 16:00 - 05.01.2024 17:00 (CET/CEST)","971","n/e","n/e","580","1116","85","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","97","1795","2369"
"Denmark (DK)","05.01.2024 17:00 - 05.01.2024 18:00 (CET/CEST)","977","n/e","n/e","571","1170","85","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","101","1831","2280"
